episode,policy,board,total_reward,steps,deaths,remaining_pellets,won,seed
364,random_policy,pac,-610.0,500,3,195,0,364
365,random_policy,pac,90.0,500,1,169,0,365
366,random_policy,pac,-685.0,315,4,201,0,366
367,random_policy,pac,-643.0,233,4,205,0,367
368,random_policy,pac,-809.0,459,4,199,0,368
369,random_policy,pac,-882.0,472,4,205,0,369
370,random_policy,pac,-300.0,500,1,208,0,370
371,random_policy,pac,-240.0,500,2,178,0,371
372,random_policy,pac,-685.0,485,4,184,0,372
373,random_policy,pac,90.0,500,0,189,0,373
374,random_policy,pac,-420.0,500,3,176,0,374
375,random_policy,pac,-775.0,215,4,220,0,375
376,random_policy,pac,-640.0,500,3,198,0,376
377,random_policy,pac,10.0,500,0,193,0,377
378,random_policy,pac,-584.0,384,4,184,0,378
379,random_policy,pac,-640.0,500,3,198,0,379
380,random_policy,pac,-250.0,500,3,163,0,380
381,random_policy,pac,-745.0,435,4,195,0,381
382,random_policy,pac,-400.0,500,2,194,0,382
383,random_policy,pac,-380.0,500,2,196,0,383
384,random_policy,pac,270.0,500,0,171,0,384
385,random_policy,pac,-650.0,500,3,199,0,385
386,random_policy,pac,-470.0,500,3,181,0,386
387,random_policy,pac,210.0,500,0,177,0,387
388,random_policy,pac,-843.0,363,4,212,0,388
389,random_policy,pac,-670.0,500,3,201,0,389
390,random_policy,pac,-791.0,471,4,196,0,390
391,random_policy,pac,-750.0,500,3,209,0,391
392,random_policy,pac,0.0,500,0,194,0,392
393,random_policy,pac,-260.0,500,2,184,0,393
394,random_policy,pac,-789.0,459,4,197,0,394
395,random_policy,pac,-500.0,500,3,184,0,395
396,random_policy,pac,-530.0,500,3,187,0,396
397,random_policy,pac,-350.0,500,2,193,0,397
398,random_policy,pac,-580.0,500,3,192,0,398
399,random_policy,pac,-878.0,428,4,209,0,399
400,random_policy,pac,-100.0,500,3,172,0,400
401,random_policy,pac,-563.0,453,4,175,0,401
402,random_policy,pac,-700.0,500,3,204,0,402
403,random_policy,pac,-797.0,317,4,212,0,403
404,random_policy,pac,-784.0,234,4,219,0,404
405,random_policy,pac,-500.0,500,3,184,0,405
406,random_policy,pac,-40.0,500,0,198,0,406
407,random_policy,pac,120.0,500,0,182,0,407
408,random_policy,pac,-650.0,500,3,203,0,408
409,random_policy,pac,140.0,500,1,184,0,409
410,random_policy,pac,0.0,500,0,198,0,410
411,random_policy,pac,-160.0,500,0,210,0,411
412,random_policy,pac,-828.0,418,4,205,0,412
413,random_policy,pac,-644.0,414,4,187,0,413
414,random_policy,pac,-400.0,500,3,174,0,414
415,random_policy,pac,-430.0,500,1,217,0,415
416,random_policy,pac,140.0,500,0,184,0,416
417,random_policy,pac,-280.0,500,0,222,0,417
