episode,policy,board,total_reward,steps,deaths,remaining_pellets,won,seed
447,greedy_policy,pac,650.0,500,0,133,0,447
448,greedy_policy,pac,960.0,500,0,106,0,448
449,greedy_policy,pac,570.0,500,0,141,0,449
450,greedy_policy,pac,270.0,500,1,151,0,450
451,greedy_policy,pac,400.0,500,0,178,0,451
452,greedy_policy,pac,1360.0,500,0,70,0,452
453,greedy_policy,pac,1170.0,500,0,89,0,453
454,greedy_policy,pac,570.0,500,0,145,0,454
455,greedy_policy,pac,530.0,500,0,145,0,455
456,greedy_policy,pac,710.0,500,0,127,0,456
457,greedy_policy,pac,2000.0,500,0,50,0,457
458,greedy_policy,pac,1130.0,500,0,89,0,458
459,greedy_policy,pac,430.0,500,0,155,0,459
460,greedy_policy,pac,1830.0,500,0,67,0,460
461,greedy_policy,pac,530.0,500,0,145,0,461
462,greedy_policy,pac,460.0,500,1,152,0,462
463,greedy_policy,pac,1220.0,500,0,80,0,463
464,greedy_policy,pac,700.0,500,0,132,0,464
465,greedy_policy,pac,1460.0,500,0,60,0,465
466,greedy_policy,pac,1380.0,500,0,104,0,466
467,greedy_policy,pac,330.0,500,1,145,0,467
468,greedy_policy,pac,240.0,500,0,174,0,468
469,greedy_policy,pac,250.0,500,1,173,0,469
470,greedy_policy,pac,1200.0,500,0,82,0,470
471,greedy_policy,pac,570.0,500,0,145,0,471
472,greedy_policy,pac,1100.0,500,0,132,0,472
473,greedy_policy,pac,1290.0,500,0,97,0,473
474,greedy_policy,pac,310.0,500,1,147,0,474
475,greedy_policy,pac,400.0,500,0,158,0,475
476,greedy_policy,pac,1160.0,500,0,106,0,476
477,greedy_policy,pac,740.0,500,0,144,0,477
478,greedy_policy,pac,1580.0,500,0,68,0,478
479,greedy_policy,pac,1230.0,500,0,99,0,479
480,greedy_policy,pac,1080.0,500,0,94,0,480
481,greedy_policy,pac,690.0,500,0,125,0,481
482,greedy_policy,pac,820.0,500,2,96,0,482
483,greedy_policy,pac,1150.0,500,0,127,0,483
484,greedy_policy,pac,920.0,500,0,130,0,484
485,greedy_policy,pac,1390.0,500,0,103,0,485
486,greedy_policy,pac,660.0,500,0,132,0,486
487,greedy_policy,pac,890.0,500,0,113,0,487
488,greedy_policy,pac,610.0,500,0,137,0,488
489,greedy_policy,pac,220.0,500,0,176,0,489
490,greedy_policy,pac,400.0,500,1,138,0,490
491,greedy_policy,pac,1190.0,500,0,83,0,491
492,greedy_policy,pac,840.0,500,0,114,0,492
493,greedy_policy,pac,450.0,500,0,153,0,493
494,greedy_policy,pac,1800.0,500,0,62,0,494
495,greedy_policy,pac,640.0,500,1,138,0,495
496,greedy_policy,pac,1110.0,500,0,91,0,496
497,greedy_policy,pac,-40.0,500,0,198,0,497
498,greedy_policy,pac,930.0,500,1,109,0,498
499,greedy_policy,pac,970.0,500,0,125,0,499
500,greedy_policy,pac,860.0,500,0,112,0,500
501,greedy_policy,pac,1090.0,500,0,113,0,501
502,greedy_policy,pac,1650.0,500,0,41,0,502
503,greedy_policy,pac,1180.0,500,0,88,0,503
504,greedy_policy,pac,710.0,500,0,151,0,504
505,greedy_policy,pac,160.0,500,0,182,0,505
506,greedy_policy,pac,950.0,500,0,107,0,506
507,greedy_policy,pac,1370.0,500,0,69,0,507
508,greedy_policy,pac,120.0,500,0,182,0,508
509,greedy_policy,pac,440.0,500,0,154,0,509
510,greedy_policy,pac,730.0,500,0,149,0,510
511,greedy_policy,pac,-50.0,500,2,159,0,511
512,greedy_policy,pac,420.0,500,1,156,0,512
513,greedy_policy,pac,1520.0,500,0,70,0,513
514,greedy_policy,pac,590.0,500,0,159,0,514
515,greedy_policy,pac,860.0,500,0,116,0,515
516,greedy_policy,pac,550.0,500,0,163,0,516
517,greedy_policy,pac,1060.0,500,0,116,0,517
518,greedy_policy,pac,330.0,500,0,165,0,518
519,greedy_policy,pac,10.0,500,0,193,0,519
520,greedy_policy,pac,670.0,500,1,111,0,520
521,greedy_policy,pac,1110.0,500,0,91,0,521
522,greedy_policy,pac,570.0,500,0,141,0,522
523,greedy_policy,pac,-290.0,500,3,167,0,523
524,greedy_policy,pac,1220.0,500,0,100,0,524
525,greedy_policy,pac,380.0,500,0,160,0,525
