episode,policy,board,total_reward,steps,deaths,remaining_pellets,won,seed
224,bfs_policy,pac,3041.0,359,2,0,1,224
225,bfs_policy,pac,3080.0,320,2,0,1,225
226,bfs_policy,pac,913.0,237,4,57,0,226
227,bfs_policy,pac,3226.0,374,0,0,1,227
228,bfs_policy,pac,3606.0,394,0,0,1,228
229,bfs_policy,pac,1204.0,306,4,25,0,229
230,bfs_policy,pac,3045.0,355,1,0,1,230
231,bfs_policy,pac,3268.0,332,1,0,1,231
232,bfs_policy,pac,3232.0,368,0,0,1,232
233,bfs_policy,pac,3260.0,340,0,0,1,233
234,bfs_policy,pac,1264.0,376,4,12,0,234
235,bfs_policy,pac,3048.0,352,1,0,1,235
236,bfs_policy,pac,3245.0,355,1,0,1,236
237,bfs_policy,pac,2875.0,325,2,0,1,237
238,bfs_policy,pac,3079.0,321,2,0,1,238
239,bfs_policy,pac,3260.0,340,0,0,1,239
240,bfs_policy,pac,3256.0,344,0,0,1,240
241,bfs_policy,pac,2849.0,351,2,0,1,241
242,bfs_policy,pac,2879.0,321,2,0,1,242
243,bfs_policy,pac,3204.0,396,0,0,1,243
244,bfs_policy,pac,3060.0,340,2,0,1,244
245,bfs_policy,pac,3234.0,366,2,0,1,245
246,bfs_policy,pac,3468.0,332,0,0,1,246
247,bfs_policy,pac,2861.0,339,2,0,1,247
248,bfs_policy,pac,2880.0,320,2,0,1,248
249,bfs_policy,pac,2828.0,372,3,0,1,249
250,bfs_policy,pac,3080.0,320,2,0,1,250
251,bfs_policy,pac,2980.0,420,3,0,1,251
252,bfs_policy,pac,2646.0,354,3,0,1,252
253,bfs_policy,pac,3464.0,336,0,0,1,253
254,bfs_policy,pac,3263.0,337,1,0,1,254
255,bfs_policy,pac,2828.0,372,2,0,1,255
256,bfs_policy,pac,3247.0,353,1,0,1,256
257,bfs_policy,pac,3450.0,350,0,0,1,257
258,bfs_policy,pac,3063.0,337,1,0,1,258
259,bfs_policy,pac,2659.0,341,3,0,1,259
260,bfs_policy,pac,3452.0,348,0,0,1,260
261,bfs_policy,pac,3856.0,344,0,0,1,261
262,bfs_policy,pac,2863.0,337,2,0,1,262
263,bfs_policy,pac,3406.0,394,0,0,1,263
264,bfs_policy,pac,2884.0,316,2,0,1,264
265,bfs_policy,pac,3266.0,334,1,0,1,265
266,bfs_policy,pac,3252.0,348,0,0,1,266
267,bfs_policy,pac,2654.0,346,3,0,1,267
268,bfs_policy,pac,3268.0,332,0,0,1,268
269,bfs_policy,pac,3232.0,368,0,0,1,269
270,bfs_policy,pac,2828.0,372,2,0,1,270
271,bfs_policy,pac,3266.0,334,0,0,1,271
272,bfs_policy,pac,3452.0,348,0,0,1,272
273,bfs_policy,pac,3488.0,312,0,0,1,273
274,bfs_policy,pac,3637.0,363,1,0,1,274
275,bfs_policy,pac,3266.0,334,0,0,1,275
276,bfs_policy,pac,3079.0,321,2,0,1,276
277,bfs_policy,pac,2841.0,359,3,0,1,277
278,bfs_policy,pac,3441.0,359,0,0,1,278
279,bfs_policy,pac,3464.0,336,0,0,1,279
280,bfs_policy,pac,3252.0,348,0,0,1,280
281,bfs_policy,pac,3438.0,362,0,0,1,281
282,bfs_policy,pac,1137.0,293,4,33,0,282
283,bfs_policy,pac,3035.0,365,1,0,1,283
284,bfs_policy,pac,3039.0,361,1,0,1,284
285,bfs_policy,pac,3238.0,362,0,0,1,285
286,bfs_policy,pac,3256.0,344,0,0,1,286
287,bfs_policy,pac,3466.0,334,0,0,1,287
288,bfs_policy,pac,3255.0,345,2,0,1,288
289,bfs_policy,pac,2651.0,349,4,0,1,289
290,bfs_policy,pac,3262.0,338,0,0,1,290
291,bfs_policy,pac,3070.0,330,1,0,1,291
292,bfs_policy,pac,3412.0,388,0,0,1,292
293,bfs_policy,pac,3440.0,360,0,0,1,293
294,bfs_policy,pac,2867.0,333,2,0,1,294
295,bfs_policy,pac,1426.0,354,4,2,0,295
296,bfs_policy,pac,3031.0,369,1,0,1,296
297,bfs_policy,pac,3252.0,348,0,0,1,297
298,bfs_policy,pac,3046.0,354,1,0,1,298
299,bfs_policy,pac,3250.0,350,0,0,1,299
300,bfs_policy,pac,3243.0,357,1,0,1,300
301,bfs_policy,pac,3258.0,342,1,0,1,301
302,bfs_policy,pac,3069.0,331,1,0,1,302
303,bfs_policy,pac,2888.0,312,2,0,1,303
304,bfs_policy,pac,3244.0,356,0,0,1,304
305,bfs_policy,pac,3050.0,350,2,0,1,305
306,bfs_policy,pac,3442.0,358,0,0,1,306
307,bfs_policy,pac,3238.0,362,0,0,1,307
308,bfs_policy,pac,2840.0,360,2,0,1,308
309,bfs_policy,pac,3442.0,358,0,0,1,309
310,bfs_policy,pac,3248.0,352,1,0,1,310
311,bfs_policy,pac,3480.0,320,0,0,1,311
312,bfs_policy,pac,3037.0,363,1,0,1,312
313,bfs_policy,pac,2866.0,334,2,0,1,313
314,bfs_policy,pac,3228.0,372,2,0,1,314
315,bfs_policy,pac,3432.0,368,1,0,1,315
316,bfs_policy,pac,3440.0,360,0,0,1,316
317,bfs_policy,pac,2652.0,348,4,0,1,317
318,bfs_policy,pac,2864.0,336,2,0,1,318
319,bfs_policy,pac,3258.0,342,0,0,1,319
320,bfs_policy,pac,2620.0,380,3,0,1,320
321,bfs_policy,pac,3256.0,344,0,0,1,321
322,bfs_policy,pac,3048.0,352,1,0,1,322
323,bfs_policy,pac,3048.0,352,2,0,1,323
324,bfs_policy,pac,3048.0,352,2,0,1,324
325,bfs_policy,pac,3230.0,370,0,0,1,325
326,bfs_policy,pac,3454.0,346,0,0,1,326
327,bfs_policy,pac,3235.0,365,1,0,1,327
328,bfs_policy,pac,3262.0,338,1,0,1,328
329,bfs_policy,pac,3061.0,339,2,0,1,329
330,bfs_policy,pac,3266.0,334,0,0,1,330
331,bfs_policy,pac,2609.0,391,3,0,1,331
332,bfs_policy,pac,2620.0,380,3,0,1,332
333,bfs_policy,pac,3242.0,358,0,0,1,333
334,bfs_policy,pac,3266.0,334,0,0,1,334
335,bfs_policy,pac,3456.0,344,0,0,1,335
336,bfs_policy,pac,2880.0,320,2,0,1,336
337,bfs_policy,pac,3266.0,334,1,0,1,337
338,bfs_policy,pac,3650.0,350,0,0,1,338
339,bfs_policy,pac,3232.0,368,0,0,1,339
340,bfs_policy,pac,3266.0,334,0,0,1,340
341,bfs_policy,pac,2851.0,349,2,0,1,341
342,bfs_policy,pac,3040.0,360,1,0,1,342
343,bfs_policy,pac,2823.0,377,2,0,1,343
344,bfs_policy,pac,3243.0,357,1,0,1,344
345,bfs_policy,pac,3246.0,354,0,0,1,345
346,bfs_policy,pac,3243.0,357,1,0,1,346
347,bfs_policy,pac,3464.0,336,0,0,1,347
348,bfs_policy,pac,3444.0,356,0,0,1,348
349,bfs_policy,pac,3013.0,387,2,0,1,349
350,bfs_policy,pac,3268.0,332,0,0,1,350
351,bfs_policy,pac,3256.0,344,1,0,1,351
352,bfs_policy,pac,3469.0,331,2,0,1,352
353,bfs_policy,pac,3018.0,382,1,0,1,353
354,bfs_policy,pac,3283.0,317,0,0,1,354
355,bfs_policy,pac,3274.0,326,0,0,1,355
356,bfs_policy,pac,3659.0,341,0,0,1,356
357,bfs_policy,pac,3409.0,391,2,0,1,357
358,bfs_policy,pac,3270.0,330,0,0,1,358
359,bfs_policy,pac,3462.0,338,1,0,1,359
360,bfs_policy,pac,3268.0,332,1,0,1,360
361,bfs_policy,pac,3238.0,362,0,0,1,361
362,bfs_policy,pac,3448.0,352,0,0,1,362
363,bfs_policy,pac,3464.0,336,0,0,1,363
364,bfs_policy,pac,3062.0,338,3,0,1,364
365,bfs_policy,pac,3262.0,338,1,0,1,365
366,bfs_policy,pac,3228.0,372,0,0,1,366
367,bfs_policy,pac,3256.0,344,0,0,1,367
368,bfs_policy,pac,3214.0,386,0,0,1,368
369,bfs_policy,pac,3262.0,338,0,0,1,369
370,bfs_policy,pac,2854.0,346,2,0,1,370
371,bfs_policy,pac,1098.0,282,4,38,0,371
372,bfs_policy,pac,3266.0,334,0,0,1,372
373,bfs_policy,pac,1469.0,291,4,20,0,373
374,bfs_policy,pac,3052.0,348,2,0,1,374
375,bfs_policy,pac,3059.0,341,1,0,1,375
376,bfs_policy,pac,2876.0,324,2,0,1,376
377,bfs_policy,pac,3056.0,344,1,0,1,377
378,bfs_policy,pac,1438.0,342,4,18,0,378
379,bfs_policy,pac,3470.0,330,0,0,1,379
380,bfs_policy,pac,3244.0,356,0,0,1,380
381,bfs_policy,pac,3275.0,325,2,0,1,381
382,bfs_policy,pac,3266.0,334,0,0,1,382
383,bfs_policy,pac,3026.0,374,1,0,1,383
384,bfs_policy,pac,3044.0,356,3,0,1,384
385,bfs_policy,pac,3232.0,368,0,0,1,385
386,bfs_policy,pac,3234.0,366,0,0,1,386
387,bfs_policy,pac,3264.0,336,2,0,1,387
388,bfs_policy,pac,3276.0,324,2,0,1,388
389,bfs_policy,pac,2875.0,325,2,0,1,389
390,bfs_policy,pac,3070.0,330,2,0,1,390
391,bfs_policy,pac,3254.0,346,0,0,1,391
392,bfs_policy,pac,3244.0,356,0,0,1,392
393,bfs_policy,pac,3035.0,365,1,0,1,393
394,bfs_policy,pac,3266.0,334,0,0,1,394
395,bfs_policy,pac,3211.0,389,1,0,1,395
396,bfs_policy,pac,3025.0,375,1,0,1,396
397,bfs_policy,pac,2656.0,344,3,0,1,397
398,bfs_policy,pac,2866.0,334,3,0,1,398
399,bfs_policy,pac,3063.0,337,2,0,1,399
400,bfs_policy,pac,3268.0,332,0,0,1,400
401,bfs_policy,pac,2870.0,330,2,0,1,401
402,bfs_policy,pac,3070.0,330,1,0,1,402
