episode,policy,board,total_reward,steps,deaths,remaining_pellets,won,seed
238,mdp_policy,pac,2614.0,386,3,0,1,238
239,mdp_policy,pac,3252.0,348,0,0,1,239
240,mdp_policy,pac,3401.0,399,0,0,1,240
241,mdp_policy,pac,1186.0,274,4,50,0,241
242,mdp_policy,pac,3046.0,354,1,0,1,242
243,mdp_policy,pac,2853.0,347,2,0,1,243
244,mdp_policy,pac,2966.0,434,1,0,1,244
245,mdp_policy,pac,3449.0,351,1,0,1,245
246,mdp_policy,pac,3587.0,413,0,0,1,246
247,mdp_policy,pac,1455.0,325,4,18,0,247
248,mdp_policy,pac,3015.0,385,2,0,1,248
249,mdp_policy,pac,2860.0,340,2,0,1,249
250,mdp_policy,pac,3468.0,332,0,0,1,250
251,mdp_policy,pac,4047.0,353,0,0,1,251
252,mdp_policy,pac,2824.0,376,2,0,1,252
253,mdp_policy,pac,3262.0,338,0,0,1,253
254,mdp_policy,pac,4048.0,352,0,0,1,254
255,mdp_policy,pac,2826.0,374,3,0,1,255
256,mdp_policy,pac,3412.0,388,0,0,1,256
257,mdp_policy,pac,3187.0,413,0,0,1,257
258,mdp_policy,pac,3453.0,347,0,0,1,258
259,mdp_policy,pac,3054.0,346,1,0,1,259
260,mdp_policy,pac,1338.0,412,4,5,0,260
261,mdp_policy,pac,3455.0,345,0,0,1,261
262,mdp_policy,pac,2632.0,368,3,0,1,262
263,mdp_policy,pac,3442.0,358,0,0,1,263
264,mdp_policy,pac,3206.0,394,0,0,1,264
265,mdp_policy,pac,2849.0,351,3,0,1,265
266,mdp_policy,pac,3220.0,380,0,0,1,266
267,mdp_policy,pac,2598.0,402,3,0,1,267
268,mdp_policy,pac,3439.0,361,0,0,1,268
269,mdp_policy,pac,1187.0,303,4,27,0,269
270,mdp_policy,pac,3253.0,347,1,0,1,270
271,mdp_policy,pac,2230.0,500,0,7,0,271
272,mdp_policy,pac,2791.0,409,3,0,1,272
273,mdp_policy,pac,2856.0,344,2,0,1,273
274,mdp_policy,pac,3212.0,388,0,0,1,274
275,mdp_policy,pac,3230.0,370,0,0,1,275
276,mdp_policy,pac,3066.0,334,1,0,1,276
277,mdp_policy,pac,1511.0,439,4,5,0,277
278,mdp_policy,pac,3416.0,384,0,0,1,278
279,mdp_policy,pac,2836.0,364,2,0,1,279
280,mdp_policy,pac,3057.0,343,1,0,1,280
281,mdp_policy,pac,3481.0,319,0,0,1,281
282,mdp_policy,pac,1372.0,378,4,5,0,282
283,mdp_policy,pac,3245.0,355,0,0,1,283
284,mdp_policy,pac,3043.0,357,1,0,1,284
285,mdp_policy,pac,2850.0,350,3,0,1,285
286,mdp_policy,pac,3571.0,429,0,0,1,286
287,mdp_policy,pac,1150.0,320,4,29,0,287
288,mdp_policy,pac,3248.0,352,1,0,1,288
289,mdp_policy,pac,2637.0,363,3,0,1,289
290,mdp_policy,pac,3272.0,328,1,0,1,290
291,mdp_policy,pac,3778.0,422,0,0,1,291
292,mdp_policy,pac,3454.0,346,1,0,1,292
293,mdp_policy,pac,3243.0,357,0,0,1,293
294,mdp_policy,pac,3023.0,377,2,0,1,294
295,mdp_policy,pac,3667.0,333,0,0,1,295
296,mdp_policy,pac,3242.0,358,0,0,1,296
297,mdp_policy,pac,3039.0,361,1,0,1,297
298,mdp_policy,pac,3057.0,343,2,0,1,298
299,mdp_policy,pac,2848.0,352,2,0,1,299
300,mdp_policy,pac,2750.0,450,2,0,1,300
301,mdp_policy,pac,3245.0,355,0,0,1,301
302,mdp_policy,pac,3463.0,337,0,0,1,302
303,mdp_policy,pac,974.0,246,4,50,0,303
304,mdp_policy,pac,3214.0,386,0,0,1,304
305,mdp_policy,pac,3218.0,382,0,0,1,305
306,mdp_policy,pac,3389.0,411,0,0,1,306
307,mdp_policy,pac,3259.0,341,0,0,1,307
308,mdp_policy,pac,1421.0,319,4,26,0,308
309,mdp_policy,pac,3217.0,383,0,0,1,309
310,mdp_policy,pac,3660.0,340,0,0,1,310
311,mdp_policy,pac,2848.0,352,2,0,1,311
